phase,candidate_id,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,gross_to_net_drag,net_to_stress_drag,costs_primary_failure_reason
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,3168.88,2955.16,2955.14,2955.14,2877.14,213.74,78.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,3168.88,2955.16,2955.14,2955.14,2877.14,213.74,78.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,2968.88,2730.5,2730.48,2730.48,2643.48,238.4,87.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,2968.88,2730.5,2730.48,2730.48,2643.48,238.4,87.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,2673.38,2517.2,2517.19,2517.19,2460.19,156.19,57.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,2673.38,2517.2,2517.19,2517.19,2460.19,156.19,57.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,2069.38,1943.34,1943.33,1943.33,1897.33,126.05,46.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,2069.38,1943.34,1943.33,1943.33,1897.33,126.05,46.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2473.38,2292.54,2292.53,2292.53,2226.53,180.85,66.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,2473.38,2292.54,2292.53,2292.53,2226.53,180.85,66.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,1900.38,1752.42,1752.41,1752.41,1698.41,147.97,54.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,1900.38,1752.42,1752.41,1752.41,1698.41,147.97,54.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,1969.38,1799.5,1799.48,1799.48,1737.48,169.9,62.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,1969.38,1799.5,1799.48,1799.48,1737.48,169.9,62.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,1800.38,1608.58,1608.56,1608.56,1538.56,191.82,70.0,False
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,1800.38,1608.58,1608.56,1608.56,1538.56,191.82,70.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,1796.94,1643.5,1643.5,1643.5,1587.5,153.44,56.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,1796.94,1643.5,1643.5,1643.5,1587.5,153.44,56.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,1130.63,996.37,996.36,996.36,947.36,134.27,49.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,1130.63,996.37,996.36,996.36,947.36,134.27,49.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,1164.25,969.71,969.7,969.7,898.7,194.55,71.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,1164.25,969.71,969.7,969.7,898.7,194.55,71.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,1231.73,1001.57,1001.57,1001.57,917.57,230.16,84.0,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,1231.73,1001.57,1001.57,1001.57,917.57,230.16,84.0,False
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,1780.35,1366.61,1366.61,1366.61,1215.61,413.74,151.0,False
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,1544.06,1042.64,1042.64,1042.64,859.64,501.42,183.0,False
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,803.58,455.6,455.59,455.59,328.59,347.99,127.0,False
phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,423.32,256.18,256.18,256.18,195.18,167.14,61.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1151.71,1006.49,1006.49,1006.49,953.49,145.22,53.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,887.85,761.81,761.81,761.81,715.81,126.04,46.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,805.43,682.13,682.13,682.13,637.13,123.3,45.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,507.26,383.96,383.96,383.96,338.96,123.3,45.0,False
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,583.31,470.97,470.97,470.97,429.97,112.34,41.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,418.12,267.42,267.42,267.42,212.42,150.7,55.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,368.82,220.86,220.86,220.86,166.86,147.96,54.0,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,212.71,67.49,67.49,67.49,14.49,145.22,53.0,False
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,156.74,66.32,66.32,66.32,33.32,90.42,33.0,False
