candidate_id,module_family,trigger_model,side,average_correlation_to_registry,max_correlation_to_registry
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.121229,0.451369
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.112211,0.367834
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,long,0.04061,0.146763
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,long,0.042841,0.126608
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,0.034497,0.242627
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_breakout_continuation,long,0.037303,0.232435
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_edge_retest_resume,long,0.037303,0.232435
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,0.034978,0.148241
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_close_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,short,0.020922,0.091274
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,short,0.020922,0.091274
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,short,0.033902,0.089163
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,long,0.053239,0.184598
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.125613,0.441006
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,short,0.0136,0.038379
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,long,0.052242,0.177712
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_breakout_continuation,long,0.039691,0.192819
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_edge_retest_resume,long,0.039691,0.192819
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_breakout_continuation,long,0.054034,0.232486
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_edge_retest_resume,long,0.054034,0.232486
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,long,0.02551,0.114452
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,long,0.02551,0.114452
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_breakout_continuation,long,0.053448,0.188899
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_edge_retest_resume,long,0.053448,0.188899
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_two_bar_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,short,0.015713,0.049342
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,short,0.015713,0.049342
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,short,0.027419,0.059985
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,long,0.030941,0.192088
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,long,0.030941,0.192088
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_close_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,short,0.019061,0.086166
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,short,0.019061,0.086166
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,short,0.022253,0.059129
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.105088,0.398255
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.105088,0.398255
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_two_bar_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,short,0.018293,0.055564
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,short,0.018293,0.055564
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,0.028892,0.229831
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,0.029279,0.190999
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,long,0.035254,0.114741
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,long,0.035254,0.114741
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,long,0.025508,0.101604
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,long,0.025508,0.101604
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.055969,0.218876
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.055969,0.218876
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.05565,0.131202
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.05565,0.131202
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_breakout_continuation,short,0.123365,0.422202
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,power_hour_continuation,power_range_edge_retest_resume,short,0.123365,0.422202
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.102293,0.387934
