candidate_id,fold,net_pnl,stress_pnl,trades
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,1,-83.26,-94.26,11
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2,-781.96,-798.96,17
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,3,-343.99,-359.99,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,4,44.58,30.58,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,-656.65,-666.65,10
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,6,-382.05,-396.05,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,1,28.74,17.74,11
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2,-1035.21,-1052.21,17
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,3,-307.23,-323.23,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,4,-132.49,-146.49,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,-444.15,-454.15,10
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,6,-32.23,-46.23,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,1,-324.23,-331.23,7
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2,-582.86,-596.86,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,3,41.65,30.65,11
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,4,75.65,66.65,9
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,-432.33,-437.33,5
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,6,194.36,184.36,10
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,1,-312.73,-319.73,7
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2,-863.86,-877.86,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,3,27.97,16.97,11
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,4,154.77,145.77,9
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,-423.7,-428.7,5
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,6,252.3,242.3,10
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,1,311.93,295.93,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2,-1354.9,-1375.9,21
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,3,-212.33,-232.33,20
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,4,44.58,30.58,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,-674.69,-686.69,12
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,6,-250.72,-266.72,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,1,489.11,473.11,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2,-1315.11,-1336.11,21
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,3,-101.44,-121.44,20
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,4,-132.49,-146.49,14
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,-414.13,-426.13,12
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,6,269.04,253.04,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,1,172.63,161.63,11
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2,-345.34,-361.34,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,3,-433.87,-448.87,15
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,4,75.65,66.65,9
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,-379.07,-385.07,6
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,6,-275.44,-287.44,12
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,1,184.13,173.13,11
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2,-760.84,-776.84,16
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,3,-397.92,-412.92,15
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,4,154.77,145.77,9
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,-370.44,-376.44,6
MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,6,-217.5,-229.5,12
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,1,439.96,424.96,15
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2,-622.2,-649.2,27
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,3,-540.99,-567.99,27
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,4,-171.02,-200.02,29
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,-924.17,-944.17,20
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,6,-509.7,-531.7,22
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,1,393.65,378.65,15
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2,-1014.38,-1041.38,27
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,3,-413.86,-440.86,27
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,4,-349.72,-378.72,29
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,-662.42,-682.42,20
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,6,-60.46,-82.46,22
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,1,92.26,79.26,13
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2,-257.11,-273.11,16
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,3,252.29,234.29,18
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,4,-252.35,-268.34,16
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,-212.39,-224.39,12
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,6,-218.32,-235.32,17
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,1,117.82,104.82,13
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2,-585.04,-601.04,16
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,3,41.55,23.55,18
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,4,-173.23,-189.22,16
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,-186.07,-198.07,12
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,6,80.11,63.11,17
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,1,928.51,908.51,20
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2,-1991.62,-2021.62,30
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,3,-443.7,-474.7,31
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,4,-406.0,-437.0,31
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,-933.19,-957.19,24
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,6,141.39,116.39,25
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,1,853.45,833.45,20
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2,-1963.05,-1993.05,30
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,3,-102.63,-133.63,31
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,4,-447.2,-478.2,31
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,-687.13,-711.13,24
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,6,590.63,565.63,25
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,1,214.8,197.8,17
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2,-342.72,-360.72,18
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,3,-245.98,-267.98,22
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,4,-349.78,-366.77,17
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,-216.94,-229.94,13
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,6,-11.81,-30.81,19
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,1,240.36,223.36,17
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2,-805.15,-823.15,18
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,3,-369.84,-391.84,22
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,4,-200.97,-217.96,17
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,-149.37,-162.37,13
MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,6,286.62,267.62,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,1,369.95,354.95,15
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,2,-627.1,-650.09,23
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,3,-348.52,-372.52,24
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,4,-9.05,-29.05,20
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,-827.5,-846.5,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,6,335.88,316.88,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,1,277.27,262.27,15
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2,-1107.03,-1130.02,23
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,3,-263.82,-287.82,24
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,4,-291.74,-311.74,20
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,-764.62,-783.62,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,6,737.25,718.25,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,1,163.64,155.64,8
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2,18.39,3.4,15
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,3,84.31,70.31,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,4,163.81,150.81,13
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,-41.32,-54.32,13
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,6,84.77,70.77,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,1,163.64,155.64,8
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2,-286.29,-301.28,15
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,3,51.2,37.2,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,4,163.81,150.81,13
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,-15.0,-28.0,13
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,6,-3.42,-17.42,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,1,718.73,700.73,18
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,2,-1152.21,-1177.2,25
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,3,21.12,-4.88,26
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,4,-244.03,-266.03,22
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,-782.48,-803.48,21
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,6,434.63,415.63,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,1,586.55,568.55,18
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,2,-1406.89,-1431.88,25
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,3,105.82,79.82,26
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,4,-389.22,-411.22,22
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,-817.85,-838.85,21
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,6,836.0,817.0,19
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,1,146.41,136.41,10
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,2,-11.03,-28.02,17
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,3,-153.23,-169.23,16
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,4,66.38,52.38,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,-99.13,-112.13,13
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,6,-445.61,-459.61,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,1,146.41,136.41,10
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,2,-450.21,-467.2,17
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,3,-186.34,-202.34,16
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,4,136.07,122.07,14
MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,-31.56,-44.56,13
