phase6b_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,phase6b_score,phase6b_label,phase6b_notes
1,MNQ_opening_range_breakout_tf5_f83a4876d1,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,paper_research_candidate,68.4966,No major Phase 5A risk flags.,4895.829999999994,5052.769999999999,471.2799999999984,2246.8299999999936,883,883,0.9800221975582686,0.3737259343148358,5.544541336353333,1.077035424150909,-3781.7399999999834,-472.24,10,0.2384192261577713,0.2384192261577713,0,2.74,3.74,12.0345,rejected,one-trade concentration risk; drawdown exceeds Phase 6B cap
2,MNQ_prior_session_levels_tf3_507ff9b957,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,interesting_but_needs_validation,32.1608,fails 4-tick slippage; same-bar stop/target ambiguity present,1319.2399999999973,189.7999999999995,74.79999999999939,-927.7600000000027,749,749,0.8312985571587126,0.38451268357810414,1.7613351134846427,1.0875167671256867,-481.52000000000066,-35.74,10,0.04529880840483924,0.04529880840483924,7,2.74,3.74,-69.4992,rejected,fails aggregate 4-tick slippage stress; same-bar stop/target ambiguity remains
3,MNQ_opening_range_breakout_tf5_00178d2888,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,interesting_but_needs_validation,15.5215,negative holdout PnL; fails 4-tick slippage; one-trade concentration risk; same-bar stop/target ambiguity present,2046.329999999996,3645.769999999999,-845.2200000000016,-602.6700000000046,883,883,0.9800221975582686,0.5096262740656852,2.317474518686292,1.039576127955329,-4366.259999999992,-472.24,6,0.3271759686854033,0.3271759686854033,1,2.74,3.74,-146.1823,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative holdout split
4,MNQ_vwap_reclaim_rejection_tf3_8cdcce12b9,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-31.2653,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1166.5200000000034,585.1599999999994,459.8999999999994,-3635.520000000003,823,823,0.9134295227524972,0.3487241798298906,-1.4173997569866383,0.9332526160634999,-2371.3600000000006,-37.74,15,1.0,1.0,8,2.74,3.74,-478.8551,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains
5,MNQ_prior_session_levels_tf2_f3e936320b,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-48.621,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-889.1800000000027,-99.20000000000056,-151.4400000000005,-3160.180000000003,757,757,0.8401775804661488,0.3527080581241744,-1.174610303830915,0.9446376649170978,-1283.3200000000038,-35.74,11,1.0,1.0,6,2.74,3.74,-481.6479,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
6,MNQ_opening_range_breakout_tf3_d604679de8,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_breakout,3,rejected,-52.6592,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1008.1200000000036,1238.019999999999,-392.2200000000012,-3672.120000000004,888,888,0.9855715871254164,0.5,-1.1352702702702742,0.9803181558432986,-4241.949999999993,-370.24,6,1.0,1.0,0,2.74,3.74,-491.156,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative holdout split
7,MNQ_vwap_reclaim_rejection_tf3_ec05326356,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-46.0063,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1346.0200000000025,-524.8400000000005,339.8999999999995,-3815.020000000003,823,823,0.9134295227524972,0.3511543134872418,-1.6355042527339034,0.8884466972093853,-1786.020000000006,-27.74,16,1.0,1.0,19,2.74,3.74,-503.4064,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split
8,MNQ_prior_session_levels_tf5_321e82e1fa,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-60.7175,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-507.1000000000031,-89.98000000000044,-1168.7400000000005,-2727.100000000003,740,740,0.8213096559378469,0.3581081081081081,-0.6852702702702744,0.9674204946996466,-1899.9600000000046,-35.24,12,1.0,1.0,10,2.74,3.74,-504.8023,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
9,MNQ_prior_session_levels_tf3_b1757a72f1,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-62.1942,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1564.2600000000025,-163.70000000000047,-385.20000000000056,-3811.260000000003,749,749,0.8312985571587126,0.3444592790387183,-2.0884646194926604,0.8593840173888965,-1575.2200000000064,-25.74,13,1.0,1.0,17,2.74,3.74,-506.063,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
10,MNQ_prior_session_levels_tf2_4a41b72440,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-68.1,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1435.6800000000028,-369.2000000000005,-661.4400000000005,-3706.6800000000026,757,757,0.8401775804661488,0.3487450462351387,-1.8965389696169128,0.8720350252956504,-1563.5000000000048,-25.74,9,1.0,1.0,22,2.74,3.74,-508.7479,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
11,MNQ_vwap_reclaim_rejection_tf5_fce6effc45,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,vwap_reclaim_rejection,5,rejected,-47.3371,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2989.060000000003,347.8999999999994,614.3799999999994,-5446.060000000003,819,819,0.9089900110987791,0.3247863247863248,-3.6496459096459133,0.833975422857054,-4021.399999999953,-38.24,12,1.0,1.0,7,2.74,3.74,-511.5301,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains
12,MNQ_prior_session_levels_tf5_ea4e2959d4,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-70.0107,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1350.6000000000022,-113.48000000000047,-1278.7400000000005,-3570.600000000003,740,740,0.8213096559378469,0.35,-1.825135135135138,0.8766737524928226,-1846.6600000000035,-27.74,14,1.0,1.0,30,2.74,3.74,-514.3093,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
13,MNQ_opening_range_breakout_tf2_bb8bc77c99,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,opening_range_breakout,2,rejected,-64.1326,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1026.130000000003,1692.7599999999989,-2763.220000000001,-3687.130000000003,887,887,0.9844617092119868,0.5005636978579482,-1.1568545659526528,0.9796893698603888,-4680.989999999997,-390.49,7,1.0,1.0,1,2.74,3.74,-515.9979,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative holdout split
14,MNQ_vwap_reclaim_rejection_tf5_67519f16dd,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,vwap_reclaim_rejection,5,rejected,-56.1515,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2335.560000000003,-202.10000000000048,174.87999999999937,-4792.560000000003,819,819,0.9089900110987792,0.3321123321123321,-2.8517216117216155,0.8117133763507433,-2673.999999999947,-28.24,14,1.0,1.0,28,2.74,3.74,-521.963,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split
15,MNQ_opening_range_breakout_tf2_85cd9b7bbb,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,opening_range_breakout,2,rejected,-74.1783,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-2267.8800000000047,2536.759999999999,-3881.970000000001,-4928.880000000005,887,887,0.9844617092119868,0.3540022547914317,-2.55679819616686,0.9646571609970198,-7153.909999999987,-390.49,14,1.0,1.0,0,2.74,3.74,-522.6195,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative holdout split
16,MNQ_opening_range_failure_tf3_d54a5f78c5,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":20.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-80.7735,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2668.739999999959,-167.49500000001638,-475.1100000000006,-5071.739999999958,801,801,0.8890122086570478,0.5543071161048689,-3.331760299625417,0.9049608570808938,-5160.339999999924,-306.365,7,1.0,1.0,2,2.74,3.74,-525.0983,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
17,MNQ_opening_range_breakout_tf3_299e540f4b,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_breakout,3,interesting_but_needs_validation,-44.5125,negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,939.3799999999932,2336.0199999999986,-765.9700000000012,-1724.6200000000065,888,888,0.9855715871254164,0.3626126126126126,1.0578603603603527,1.014686569366985,-4766.209999999985,-370.24,11,1.1350678106836505,1.1350678106836505,0,2.74,3.74,-531.5873,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative holdout split
18,MNQ_vwap_reclaim_rejection_tf2_b553f4f62e,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,vwap_reclaim_rejection,2,rejected,-72.7534,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-3040.160000000004,-41.10000000000062,-333.6000000000006,-5542.160000000004,834,834,0.925638179800222,0.3237410071942446,-3.645275779376504,0.8342998665748097,-3633.719999999896,-39.24,16,1.0,1.0,7,2.74,3.74,-534.0135,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
19,MNQ_opening_range_failure_tf5_0a5ab4a183,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":20.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-84.7046,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-3606.7749999999537,468.0649999999892,-1677.7650000000008,-5931.774999999954,775,775,0.8601553829078802,0.5458064516129032,-4.653903225806392,0.8661691698278935,-5881.219999999911,-370.1650000000029,7,1.0,1.0,2,2.74,3.74,-541.2723,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative holdout split
20,MNQ_vwap_reclaim_rejection_tf2_46a530196a,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider stop/target, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,vwap_reclaim_rejection,2,rejected,-82.8474,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2782.1600000000026,-707.6000000000005,-693.1000000000005,-5284.160000000003,834,834,0.925638179800222,0.3237410071942446,-3.3359232613908905,0.7826753299911106,-3003.599999999969,-28.24,12,1.0,1.0,23,2.74,3.74,-541.8019,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
21,MNQ_opening_range_failure_tf3_f6a1aabd4f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":20.0,""or_minutes"":15,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-100.0685,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-4457.839999999966,-1282.6200000000167,-1387.40999999999,-6860.839999999965,801,801,0.8890122086570478,0.3682896379525593,-5.565343320848896,0.9007848471791444,-7485.694999999914,-439.49,13,1.0,1.0,0,2.74,3.74,-553.8328,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative validation split; negative holdout split
22,MNQ_opening_range_failure_tf2_27475df822,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":20.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,opening_range_failure,2,rejected,-97.4946,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-4473.404999999952,-918.6099999999974,-1042.0149999999967,-6924.404999999953,817,817,0.90677025527192,0.5299877600979193,-5.475403916768608,0.8636810968884296,-6569.914999999895,-380.365,8,1.0,1.0,2,2.74,3.74,-554.7538,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
23,MNQ_opening_range_failure_tf5_3b462204f0,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":20.0,""or_minutes"":15,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-102.7631,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-6241.999999999964,-1425.9600000000125,-2703.1899999999896,-8566.999999999964,775,775,0.8601553829078802,0.3858064516129032,-8.05419354838705,0.8622933517824657,-8569.559999999896,-370.1650000000029,10,1.0,1.0,0,2.74,3.74,-580.3202,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative validation split; negative holdout split
24,MNQ_opening_range_failure_tf2_c4bdf67f7a,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":20.0,""or_minutes"":15,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Phase 6B ambiguity reduction: one trade per day, wider opening-range filter, and loser stop rule."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,opening_range_failure,2,rejected,-102.4343,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-6220.654999999945,-2212.084999999997,-2611.33999999998,-8671.654999999946,817,817,0.90677025527192,0.3402692778457772,-7.61402080783347,0.8690469336263128,-8491.5299999999,-380.365,15,1.0,1.0,0,2.74,3.74,-584.661,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6B cap; negative validation split; negative holdout split
