selection_rank,module_id,phase,candidate_id,source_family,market_condition,module_family,portfolio_role,plain_english_rule,signal_evidence_status,tradability_status,research_track,portfolio_contribution_status,official_gates_passed,paper_trading_approved,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,level_source,source_window,trade_window,source_report,prior_score,selection_reason,signal_key
1,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,,,,,,,,reports/phase10b_research_signal_packet.md,8745.14,audit_a_best_reconstructed,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1
2,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,trend_day,pullback_continuation,rare_setup_module,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1006.49,953.49,41.79,226.88,440.05,0.5,53,53,0.225298,0.225298,,,,,,,,reports/phase12a_research_signal_packet.md,2668.7000000000003,audit_a_best_reconstructed,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit
3,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,range_day,fade,parked_module,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1366.61,1215.61,82.84,303.5,576.23,0.5,151,98,0.263982,0.263982,,,,,,,,reports/phase11a_research_signal_packet.md,3544.79,audit_a_best_reconstructed,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit
4,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1643.5,1587.5,644.66,2011.98,1982.5,0.666667,56,56,0.353368,0.353368,,,,,,,,reports/phase10b_research_signal_packet.md,7870.139999999999,audit_a_best_reconstructed,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1
5,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,1752.41,1698.41,122.9,835.1,1821.32,0.833333,54,54,0.264071,0.264071,,,,,,,,reports/phase10b_research_signal_packet.md,6230.14,audit_a_best_reconstructed,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1
6,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,range_day,fade,parked_module,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1042.64,859.64,720.79,1112.58,993.45,0.0,183,152,0.3954,0.3954,,,,,,,,reports/phase11a_research_signal_packet.md,4729.1,top_phase11a_parked_signal,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit
7,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,trend_day,pullback_continuation,rare_setup_module,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,previously_parked_research_signal,False,False,682.13,637.13,381.0,495.83,482.23,0.0,45,45,0.325099,0.325099,,,,,,,,reports/phase12a_research_signal_packet.md,2678.32,top_phase12a_parked_signal,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit
8,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,prior_level_interaction,breakout,diversifier_module,"Long breakout above prior RTH high after close confirmation, filled at next bar open.",positive_research_signal,not_tradable_concentrated,parked_research_signal,not_evaluated_until_portfolio_audit_b,False,False,879.0,756.0,1407.83,100.29,705.58,0.5,123,123,0.343299,0.343299,0.078738,0.248042,0.076492,0.248042,prior_rth,prior_rth_session,10:00-13:30,reports/phase13a_uncorrelated_family_scout_report.md,3848.7,phase13a_diversifier_module,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit
9,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,prior_level_interaction,breakout,diversifier_module,"Long breakout above prior RTH high after close confirmation, filled at next bar open.",positive_research_signal,not_tradable_concentrated,parked_research_signal,not_evaluated_until_portfolio_audit_b,False,False,883.0,760.0,1407.83,69.79,675.08,0.5,123,123,0.341744,0.341744,0.078818,0.246257,0.076755,0.246257,prior_rth,prior_rth_session,10:00-13:30,reports/phase13a_uncorrelated_family_scout_report.md,3795.7,phase13a_diversifier_module,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit
10,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,,,,,,,,reports/phase10b_research_signal_packet.md,8745.14,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2
11,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,,,,,,,,reports/phase10b_research_signal_packet.md,8035.9400000000005,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1
12,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,,,,,,,,reports/phase10b_research_signal_packet.md,8035.9400000000005,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2
13,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2292.53,2226.53,117.16,920.64,1786.9,0.833333,66,66,0.395092,0.395092,,,,,,,,reports/phase10b_research_signal_packet.md,7343.76,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1
14,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,2292.53,2226.53,117.16,920.64,1786.9,0.833333,66,66,0.395092,0.395092,,,,,,,,reports/phase10b_research_signal_packet.md,7343.76,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2
15,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1001.57,917.57,764.92,2095.74,1949.82,0.0,84,84,0.57985,0.57985,,,,,,,,reports/phase10b_research_signal_packet.md,6729.619999999999,selected_parked_research_signal,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1
16,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1001.57,917.57,764.92,2095.74,1949.82,0.0,84,84,0.57985,0.57985,,,,,,,,reports/phase10b_research_signal_packet.md,6729.619999999999,selected_parked_research_signal,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2
17,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1799.48,1737.48,340.14,692.56,1795.54,0.833333,62,62,0.257163,0.257163,,,,,,,,reports/phase10b_research_signal_packet.md,6365.2,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1
18,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1799.48,1737.48,340.14,692.56,1795.54,0.833333,62,62,0.257163,0.257163,,,,,,,,reports/phase10b_research_signal_packet.md,6365.2,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2
19,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1608.56,1538.56,122.9,835.1,1687.84,0.833333,70,70,0.287686,0.287686,,,,,,,,reports/phase10b_research_signal_packet.md,5792.96,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1
20,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,prior_level_interaction,prior_level_reaction,parked_module,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,positive_research_signal,not_tradable_concentrated,parked_research_signal,previously_parked_research_signal,False,False,1608.56,1538.56,122.9,835.1,1687.84,0.833333,70,70,0.287686,0.287686,,,,,,,,reports/phase10b_research_signal_packet.md,5792.96,selected_parked_research_signal,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2
